,City,Country,Date,Humidity,Cloudiness,Wind Speed,Max Temp,Latitude,Longitude
0,Mahebourg,MU,1548644400,88,75,6.98,78.8,-20.41,57.7
1,Jamestown,AU,1548646669,86,0,4.97,73.75,-33.21,138.6
2,Ushuaia,AR,1548644400,53,75,12.75,50.0,-54.81,-68.31
3,Ponta do Sol,BR,1548646672,91,8,2.84,62.19,-20.63,-46.0
4,Rikitea,PF,1548646673,99,0,11.56,80.91,-23.12,-134.97
5,Albany,US,1548645480,54,75,13.87,26.96,42.65,-73.75
6,Lebu,ET,1548644400,66,0,2.24,51.8,8.96,38.73
7,East London,ZA,1548644400,88,40,5.82,68.0,-33.02,27.91
8,Penzance,GB,1548643800,100,75,9.17,41.0,50.12,-5.53
9,Cape Town,ZA,1548644400,64,0,4.7,68.0,-33.93,18.42
10,Carnarvon,ZA,1548646681,47,0,11.23,59.94,-30.97,22.13
11,Leningradskiy,RU,1548646682,96,80,32.03,0.13,69.38,178.42
12,Havre-Saint-Pierre,CA,1548644400,84,75,21.92,8.6,50.23,-63.6
13,Havre,US,1548643980,68,1,9.17,28.94,48.55,-109.68
14,Gat,SN,1548644400,30,24,2.24,75.2,14.69,-16.54
15,Mataura,NZ,1548646687,65,0,18.5,72.4,-46.19,168.86
16,Belyy Yar,RU,1548644400,45,0,13.42,1.4,53.6,91.39
17,Busselton,AU,1548646690,74,0,7.31,77.22,-33.64,115.35
18,Povenets,RU,1548646691,77,44,4.97,-0.77,62.85,34.83
19,Los Llanos de Aridane,ES,1548644400,68,0,10.29,64.4,28.66,-17.92
20,Khuzdar,PK,1548646694,71,0,3.29,32.08,27.8,66.62
21,Tolaga Bay,NZ,1548646644,50,0,8.99,83.2,-38.37,178.3
22,Vila Franca do Campo,PT,1548644400,82,20,8.05,55.4,37.72,-25.43
23,Kodiak,US,1548644100,82,90,11.41,39.92,39.95,-94.76
24,Nara,JP,1548644400,46,75,6.93,50.0,34.68,135.8
25,Tomaszow Lubelski,PL,1548646700,87,68,10.67,27.22,50.45,23.42
26,Arraial do Cabo,BR,1548646701,89,0,16.04,77.04,-22.97,-42.02
27,Punta Arenas,CL,1548644400,75,75,9.17,46.4,-53.16,-70.91
28,Bredasdorp,ZA,1548644400,82,8,11.41,68.0,-34.53,20.04
29,Shingu,JP,1548644400,100,75,4.7,50.0,33.72,135.99
30,Inongo,CD,1548646706,87,68,4.97,77.31,-1.93,18.29
